ell,state_index,E_over_h_MHz,absE_over_h_MHz,nodes,eig_residual_rel,classification
0,0,-14.953503739135929,14.953503739135929,0,1.402973724454844e-12,bound
0,1,-9.127455271740414,9.127455271740414,1,2.8562247322967908e-11,bound
0,2,-3.43432453554371,3.43432453554371,2,1.6832661265100597e-11,bound
0,3,1.3702733769705202,1.3702733769705202,3,1.0539969574636586e-10,trap-confined
0,4,5.227526260254234,5.227526260254234,4,7.954730612932608e-12,trap-confined
0,5,8.490044002871269,8.490044002871269,5,8.626870674485512e-12,trap-confined
1,0,-12.342777449302494,12.342777449302494,0,2.2459258990285305e-12,bound
1,1,-6.348442108949388,6.348442108949388,1,5.976498679932541e-12,bound
1,2,-0.9915549135413618,0.9915549135413618,2,3.391764659530706e-11,bound
1,3,3.342343586720569,3.342343586720569,3,1.1859245071060342e-11,trap-confined
1,4,6.864898238453224,6.864898238453224,4,5.9326318503585196e-12,trap-confined
1,5,9.951368622855961,9.951368622855961,5,4.129140333821831e-12,trap-confined
2,0,-9.508484036486772,9.508484036486772,0,3.0234557246926447e-12,bound
2,1,-3.5847966717188977,3.5847966717188977,1,8.284662475426463e-12,bound
2,2,1.3455393820906283,1.3455393820906283,2,2.5238856690168452e-11,trap-confined
2,3,5.244632882871243,5.244632882871243,3,6.723413006656257e-12,trap-confined
2,4,8.50708969847776,8.50708969847776,4,4.347794965256975e-12,trap-confined
2,5,11.45858138366706,11.45858138366706,5,3.6209469082293498e-12,trap-confined
