rc_nm,E0_MHz,E1_MHz,E2_MHz,E0_abs_MHz,n_negative,delta15_MHz,delta15_abs_MHz,delta15_pct,inside_13_17_MHz_band,is_reference_point
24.0,-20.85210157791425,-13.853162707261616,-6.898922245597531,20.85210157791425,4,5.852101577914251,5.852101577914251,39.01401051942834,False,False
24.1,-20.48002217579869,-13.55586485255935,-6.681522375419264,20.48002217579869,4,5.480022175798691,5.480022175798691,36.533481171991276,False,False
24.2,-20.115697062862633,-13.26504097825182,-6.46908613247706,20.115697062862633,4,5.115697062862633,5.115697062862633,34.10464708575089,False,False
24.3,-19.758932285793886,-12.980521371174289,-6.261473122448478,19.758932285793886,4,4.758932285793886,4.758932285793886,31.726215238625908,False,False
24.4,-19.409539493305598,-12.70214136972845,-6.0585473840683335,19.409539493305598,4,4.409539493305598,4.409539493305598,29.396929955370652,False,False
24.5,-19.067335753040428,-12.42974119617338,-5.860177239180303,19.067335753040428,4,4.067335753040428,4.067335753040428,27.115571686936185,False,False
24.6,-18.732143375137642,-12.163165795161147,-5.666235148263694,18.732143375137642,4,3.7321433751376425,3.7321433751376425,24.880955834250948,False,False
24.7,-18.403789742290424,-11.902264678185931,-5.476597571309866,18.403789742290424,4,3.4037897422904244,3.4037897422904244,22.691931615269496,False,False
24.8,-18.082107145864025,-11.646891773755668,-5.291144833800899,18.082107145864025,3,3.0821071458640255,3.0821071458640255,20.547380972426836,False,False
24.9,-17.76693262803474,-11.396905283066188,-5.1097609975049645,17.76693262803474,3,2.7669326280347413,2.7669326280347413,18.446217520231606,False,False
25.0,-17.45810782957506,-11.152167540877597,-4.932333736010151,17.45810782957506,3,2.4581078295750594,2.4581078295750594,16.387385530500396,False,False
25.1,-17.155478843048517,-10.912544881492979,-4.75875421470937,17.155478843048517,3,2.155478843048517,2.155478843048517,14.369858953656777,False,False
25.166667,-16.95709326948872,-10.755573123237808,-4.6451193894163225,16.95709326948872,3,1.9570932694887198,1.9570932694887198,13.047288463258132,True,False
25.2,-16.85889607134141,-10.677907509539184,-4.5889169751108065,16.85889607134141,3,1.8588960713414089,1.8588960713414089,12.392640475609392,True,False
25.3,-16.568214091129445,-10.448129375404276,-4.422719823211991,16.568214091129445,3,1.5682140911294447,1.5682140911294447,10.454760607529632,True,False
25.4,-16.283291521226605,-10.223088055122387,-4.260063721893858,16.283291521226605,3,1.2832915212266052,1.2832915212266052,8.555276808177366,True,False
25.5,-16.003990895595958,-10.002664634591381,-4.100852687089174,16.003990895595958,3,1.0039908955959582,1.0039908955959582,6.693272637306388,True,False
25.6,-15.730178540769883,-9.786743597843271,-3.9449936876053466,15.730178540769883,3,0.7301785407698826,0.7301785407698826,4.867856938465885,True,False
25.7,-15.461724457628407,-9.57521271929272,-3.792396548394208,15.461724457628407,3,0.4617244576284065,0.4617244576284065,3.0781630508560434,True,False
25.8,-15.198502207223102,-9.367962959794566,-3.642973857303332,15.198502207223102,3,0.1985022072231022,0.1985022072231022,1.3233480481540145,True,False
25.876730807,-14.999999970076713,-9.21177491756407,-3.5304199125284863,14.999999970076713,3,-2.992328695938795e-08,2.992328695938795e-08,1.9948857972925302e-07,True,True
25.9,-14.940388800635448,-9.164888366335619,-3.4966408749141924,14.940388800635448,3,-0.05961119936455184,0.05961119936455184,0.3974079957636789,True,False
26.0,-14.687264592596879,-8.965885975215317,-3.353315447594468,14.687264592596879,3,-0.312735407403121,0.312735407403121,2.0849027160208067,True,False
26.1,-14.439013178845013,-8.770855718635174,-3.2129179234862026,14.439013178845013,3,-0.5609868211549873,0.5609868211549873,3.739912141033249,True,False
26.166667,-14.276162476774514,-8.642993510459744,-3.1209074939406487,14.276162476774514,3,-0.7238375232254857,0.7238375232254857,4.825583488169904,True,False
26.2,-14.195521296866897,-8.579700334482366,-3.0753710713606774,14.195521296866897,3,-0.8044787031331033,0.8044787031331033,5.363191354220689,True,False
