crossing_id,level,N,delta_r_nm,rc_crossing_nm,root_residual_MHz,nminus_left,nminus_right
E4_zero,4,1800,0.3613118399110617,21.434789323307303,3.410605131648481e-13,5,4
E4_zero,4,2556,0.25440313111545987,21.43472036819302,1.1368683772161603e-12,5,4
E4_zero,4,3630,0.17911270322402867,21.434703381748502,1.3642420526593926e-12,5,4
E4_zero,4,5155,0.12611563833915407,21.434699204120232,6.366462912410497e-12,5,4
E3_zero,3,1800,0.3613118399110617,24.73730638196898,1.023181539494544e-12,4,3
E3_zero,3,2556,0.25440313111545987,24.737282290555164,1.1368683772161605e-12,4,3
E3_zero,3,3630,0.17911270322402867,24.737276361257138,4.092726157978178e-12,4,3
E3_zero,3,5155,0.12611563833915407,24.73727490367426,9.094947017729284e-13,4,3
E2_zero,2,1800,0.3613118399110617,29.163957104795045,5.684341886080802e-13,3,2
E2_zero,2,2556,0.25440313111545987,29.16395027165594,1.1368683772161605e-12,3,2
E2_zero,2,3630,0.17911270322402867,29.163948590869843,2.2737367544323206e-12,3,2
E2_zero,2,5155,0.12611563833915407,29.16394817779722,2.728484105318785e-12,3,2
